group_id,group_title,lesson,question_no,question_jp,romaji,meaning_vi,option_a,option_b,option_c,option_d
7,Việt → Nhật / sở thích và câu nói,Mina bài 18,1,“sở thích” là từ nào?,“sở thích” là từ nào?,Chọn từ tiếng Nhật cho “sở thích”.,しゅみ,にっき,おいのり,どうぶつ
7,Việt → Nhật / sở thích và câu nói,Mina bài 18,2,“nhật ký” là từ nào?,“nhật ký” là từ nào?,Chọn từ tiếng Nhật cho “nhật ký”.,にっき,しゅみ,げんきん,メートル
7,Việt → Nhật / sở thích và câu nói,Mina bài 18,3,“cầu nguyện” là từ nào?,“cầu nguyện” là từ nào?,Chọn từ tiếng Nhật cho “cầu nguyện”.,おいのり,にっき,しゅみ,よやく
7,Việt → Nhật / sở thích và câu nói,Mina bài 18,4,“đặc biệt là” là từ nào?,“đặc biệt là” là từ nào?,Chọn từ tiếng Nhật cho “đặc biệt là”.,とくに,なかなか,ぜひ,へえ
7,Việt → Nhật / sở thích và câu nói,Mina bài 18,5,“mãi mà / khó mà” là từ nào?,“mãi mà / khó mà” là từ nào?,Chọn từ tiếng Nhật cho “mãi mà / khó mà”.,なかなか,とくに,ぜひ,ほんとうですか
7,Việt → Nhật / sở thích và câu nói,Mina bài 18,6,“nhất định / rất mong” là từ nào?,“nhất định / rất mong” là từ nào?,Chọn từ tiếng Nhật cho “nhất định / rất mong”.,ぜひ,なかなか,とくに,へえ
7,Việt → Nhật / sở thích và câu nói,Mina bài 18,7,“ồ / vậy à” là từ nào?,“ồ / vậy à” là từ nào?,Chọn từ tiếng Nhật cho “ồ / vậy à”.,へえ,ぜひ,なかなか,とくに
7,Việt → Nhật / sở thích và câu nói,Mina bài 18,8,“thật không?” là câu nào?,“thật không?” là câu nào?,Chọn từ tiếng Nhật cho “thật không?”.,ほんとうですか,それは おもしろいですね,ぜひ いきたいです,へえ
7,Việt → Nhật / sở thích và câu nói,Mina bài 18,9,“điều đó thú vị nhỉ” là câu nào?,“điều đó thú vị nhỉ” là câu nào?,Chọn từ tiếng Nhật cho “điều đó thú vị nhỉ”.,それは おもしろいですね,ほんとうですか,ぜひ いきたいです,なかなか
7,Việt → Nhật / sở thích và câu nói,Mina bài 18,10,“nhất định muốn đi” là câu nào?,“nhất định muốn đi” là câu nào?,Chọn từ tiếng Nhật cho “nhất định muốn đi”.,ぜひ いきたいです,ほんとうですか,それは おもしろいですね,とくに
